document_id,page_number,line_number,action,fund_number,section_hint,account,label,actual_24_25,budget_25_26,actual_25_26,budget_26_27,reason,raw_line
weakley-fwm-2026-06-30,96,1,add,141,Fund 141 General Purpose School expenditures - Instruction,351,FRM Rentals,"1,512","4,500","2,033","1,500",Skipped OCR row with dotted account code.,"351 FRM Rentals 1,512 4,500 2,033 1,500"
weakley-fwm-2026-06-30,96,2,add,141,Fund 141 General Purpose School expenditures - Instruction,413,FRM Drugs & Medical Supplies,"1,369","2,000","3,000","2,000",Skipped OCR row with dotted account code.,"413 FRM Drugs & Medical Supplies 1,369 2,000 3,000 2,000"
weakley-fwm-2026-06-30,98,3,add,141,Fund 141 General Purpose School expenditures - Instruction,511,DRV Vehicle Insurance,0,"3,000",0,1,Skipped OCR row with dotted account code.,"511 DRV Vehicle Insurance 0 3,000 0 1"
weakley-fwm-2026-06-30,99,4,add,141,Fund 141 General Purpose School expenditures - Instruction,207,ABE Medical Insurance,"42,920","51,764","48,578","40,269",Skipped OCR row with dotted account code.,"207 ABE Medical Insurance 42,920 51,764 48,578 40,269"
weakley-fwm-2026-06-30,99,5,add,141,Fund 141 General Purpose School expenditures - Instruction,307,ABE Communication,"4,196","5,631","3,194","4,000",Skipped OCR row with dotted account code.,"307 ABE Communication 4,196 5,631 3,194 4,000"
weakley-fwm-2026-06-30,106,6,add,141,Fund 141 General Purpose School expenditures - Support Services,355,Travel,"22,741","24,000","25,112","24,000",Continuation-page split layout; extractor skipped row.,"355 Travel 22,741 24,000 25,112 24,000"
weakley-fwm-2026-06-30,106,7,add,141,Fund 141 General Purpose School expenditures - Support Services,369,Contracts Sub Teachers - Certified,"3,781","4,000","2,281","3,000",Continuation-page split layout; extractor skipped row.,"369 Contracts Sub Teachers - Certified 3,781 4,000 2,281 3,000"
weakley-fwm-2026-06-30,106,8,add,141,Fund 141 General Purpose School expenditures - Support Services,370,Contracts Sub Teachers - Non. Certified,"5,625","5,250","4,641","6,250",Continuation-page split layout; extractor skipped row.,"370 Contracts Sub Teachers - Non. Certified 5,625 5,250 4,641 6,250"
weakley-fwm-2026-06-30,106,9,add,141,Fund 141 General Purpose School expenditures - Support Services,399,Other Contracted Services,"8,738","6,000","9,936","6,000",Continuation-page split layout; extractor skipped row.,"399 Other Contracted Services 8,738 6,000 9,936 6,000"
weakley-fwm-2026-06-30,106,10,add,141,Fund 141 General Purpose School expenditures - Support Services,399,ISM Other Contracted Services,0,234,0,0,Continuation-page split layout; extractor skipped row.,399 ISM Other Contracted Services 0 234 0 0
weakley-fwm-2026-06-30,106,11,add,141,Fund 141 General Purpose School expenditures - Support Services,432,Library Books,"77,172","76,340","87,446","79,717",Continuation-page split layout; extractor skipped row.,"432 Library Books 77,172 76,340 87,446 79,717"
weakley-fwm-2026-06-30,106,12,add,141,Fund 141 General Purpose School expenditures - Support Services,499,Other Supplies & Materials,"31,481","38,110","25,935","39,263",Continuation-page split layout; extractor skipped row.,"499 Other Supplies & Materials 31,481 38,110 25,935 39,263"
weakley-fwm-2026-06-30,106,13,add,141,Fund 141 General Purpose School expenditures - Support Services,524,Staff Development,"30,639","31,848","26,549","31,728",Continuation-page split layout; extractor skipped row.,"524 Staff Development 30,639 31,848 26,549 31,728"
weakley-fwm-2026-06-30,106,14,add,141,Fund 141 General Purpose School expenditures - Support Services,524,ISM Staff Development,"2,494","3,928","1,215",0,Continuation-page split layout; extractor skipped row.,"524 ISM Staff Development 2,494 3,928 1,215 0"
weakley-fwm-2026-06-30,106,15,add,141,Fund 141 General Purpose School expenditures - Support Services,722,Instructional Equipment,0,1,0,1,Continuation-page split layout; extractor skipped row.,722 Instructional Equipment 0 1 0 1
weakley-fwm-2026-06-30,106,16,add,141,Fund 141 General Purpose School expenditures - Support Services,790,Other Equipment,0,2,0,2,Continuation-page split layout; extractor skipped row.,790 Other Equipment 0 2 0 2
weakley-fwm-2026-06-30,112,17,add,141,Fund 141 General Purpose School expenditures - Support Services,105,Supervisor/Director,"69,170","69,820","71,070","72,770",Split layout; extractor skipped whole page.,"105 Supervisor/Director 69,170 69,820 71,070 72,770"
weakley-fwm-2026-06-30,112,18,add,141,Fund 141 General Purpose School expenditures - Support Services,120,Computer Programmers,"289,934","303,926","290,434","307,265",Split layout; extractor skipped whole page.,"120 Computer Programmers 289,934 303,926 290,434 307,265"
weakley-fwm-2026-06-30,112,19,add,141,Fund 141 General Purpose School expenditures - Support Services,189,Other Salaries & Wages,"54,335","57,635","57,305","59,290",Split layout; extractor skipped whole page.,"189 Other Salaries & Wages 54,335 57,635 57,305 59,290"
weakley-fwm-2026-06-30,112,20,add,141,Fund 141 General Purpose School expenditures - Support Services,201,Social Security,"24,520","28,035","23,975","27,250",Split layout; extractor skipped whole page.,"201 Social Security 24,520 28,035 23,975 27,250"
weakley-fwm-2026-06-30,112,21,add,141,Fund 141 General Purpose School expenditures - Support Services,204,State Retirement,"28,080","29,011","29,238","32,500",Split layout; extractor skipped whole page.,"204 State Retirement 28,080 29,011 29,238 32,500"
weakley-fwm-2026-06-30,112,22,add,141,Fund 141 General Purpose School expenditures - Support Services,207,Medical Insurance,"34,625","45,502","54,471","64,751",Split layout; extractor skipped whole page.,"207 Medical Insurance 34,625 45,502 54,471 64,751"
weakley-fwm-2026-06-30,112,23,add,141,Fund 141 General Purpose School expenditures - Support Services,212,Medicare Liability,"5,735","6,655","5,607","6,375",Split layout; extractor skipped whole page.,"212 Medicare Liability 5,735 6,655 5,607 6,375"
weakley-fwm-2026-06-30,112,24,add,141,Fund 141 General Purpose School expenditures - Support Services,217,TCRS Hybrid Stabilization Rate,0,0,0,505,Split layout; extractor skipped whole page.,217 TCRS Hybrid Stabilization Rate 0 0 0 505
weakley-fwm-2026-06-30,112,25,add,141,Fund 141 General Purpose School expenditures - Support Services,308,Consultants,"10,106",4,"2,794",1,Split layout; extractor skipped whole page.,"308 Consultants 10,106 4 2,794 1"
weakley-fwm-2026-06-30,112,26,add,141,Fund 141 General Purpose School expenditures - Support Services,336,Repair/Maintenance - Equipment,"29,239","19,500","3,411","19,500",Split layout; extractor skipped whole page.,"336 Repair/Maintenance - Equipment 29,239 19,500 3,411 19,500"
weakley-fwm-2026-06-30,112,27,add,141,Fund 141 General Purpose School expenditures - Support Services,350,Internet Connectivity,"80,880","82,000","80,880","55,000",Split layout; extractor skipped whole page.,"350 Internet Connectivity 80,880 82,000 80,880 55,000"
weakley-fwm-2026-06-30,112,28,add,141,Fund 141 General Purpose School expenditures - Support Services,355,Travel,"22,161","21,100","19,993","21,000",Split layout; extractor skipped whole page.,"355 Travel 22,161 21,100 19,993 21,000"
weakley-fwm-2026-06-30,112,29,add,141,Fund 141 General Purpose School expenditures - Support Services,471,Software,"153,640","157,900","153,615","181,500",Split layout; extractor skipped whole page.,"471 Software 153,640 157,900 153,615 181,500"
weakley-fwm-2026-06-30,112,30,add,141,Fund 141 General Purpose School expenditures - Support Services,722,Regular Instruction Equipment,"16,268","24,000","16,015","24,000",Split layout; extractor skipped whole page.,"722 Regular Instruction Equipment 16,268 24,000 16,015 24,000"
weakley-fwm-2026-06-30,114,31,replace,141,Fund 141 General Purpose School expenditures - Support Services,516,Self-Insured Claims,0,"1,500",0,"1,500",Corrects OCR/detail value to match section subtotal.,"516 Self-Insured Claims 0 1,500 0 1,500"
