document_id,page_number,section_hint,page_type,fund_number,fund_name,department,division,contains_budget_table,contains_salary_or_compensation,review_confidence,review_notes
weakley-fwm-2026-06-30,86,Fund 141 General Purpose School revenues,budget_table,141,General Purpose School,Revenue,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,87,Fund 141 General Purpose School revenues,budget_table,141,General Purpose School,Revenue,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,88,Fund 141 General Purpose School revenues,budget_table,141,General Purpose School,Revenue,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,89,Fund 141 General Purpose School revenues,budget_table,141,General Purpose School,Revenue,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,90,Fund 141 General Purpose School expenditures - Regular Instruction,budget_table,141,General Purpose School,Regular Instruction,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,91,Fund 141 General Purpose School expenditures - Regular Instruction,budget_table,141,General Purpose School,Regular Instruction,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,92,Fund 141 General Purpose School expenditures - Special Education,budget_table,141,General Purpose School,Special Education,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,93,Fund 141 General Purpose School expenditures - Special Education,budget_table,141,General Purpose School,Special Education,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,94,Fund 141 General Purpose School expenditures - Vocational Education,budget_table,141,General Purpose School,Vocational Education,Regular Vocational,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,95,Fund 141 General Purpose School expenditures - Vocational Education,budget_table,141,General Purpose School,Vocational Education,Regular Vocational,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,96,Fund 141 General Purpose School expenditures - Vocational Education,budget_table,141,General Purpose School,Vocational Education,Student Farm,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,97,Fund 141 General Purpose School expenditures - Student Body Education,budget_table,141,General Purpose School,Student Body Education,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,98,Fund 141 General Purpose School expenditures - Student Body Education,budget_table,141,General Purpose School,Student Body Education,Drivers Education,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,99,Fund 141 General Purpose School expenditures - Adult Education Program,budget_table,141,General Purpose School,Adult Education Program,Adult Basic Education,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,100,Fund 141 General Purpose School expenditures - Attendance,budget_table,141,General Purpose School,Attendance,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,101,Fund 141 General Purpose School expenditures - Health Services,budget_table,141,General Purpose School,Health Services,Health Services,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,102,Fund 141 General Purpose School expenditures - Health Services,budget_table,141,General Purpose School,Health Services,Coordinated School Health,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,103,Fund 141 General Purpose School expenditures - Other Student Support,budget_table,141,General Purpose School,Other Student Support,Other Student Support,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,104,Fund 141 General Purpose School expenditures - Other Student Support,budget_table,141,General Purpose School,Other Student Support,Safe Schools Act,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,105,Fund 141 General Purpose School expenditures - Regular Instruction Program,budget_table,141,General Purpose School,Regular Instruction Program,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,106,Fund 141 General Purpose School expenditures - Regular Instruction Program,budget_table,141,General Purpose School,Regular Instruction Program,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,107,Fund 141 General Purpose School expenditures - Alternative Instruction Program,budget_table,141,General Purpose School,Alternative Instruction Program,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,108,Fund 141 General Purpose School expenditures - Special Education Program,budget_table,141,General Purpose School,Special Education Program,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,109,Fund 141 General Purpose School expenditures - Special Education Program,budget_table,141,General Purpose School,Special Education Program,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,110,Fund 141 General Purpose School expenditures - Vocational Education Program,budget_table,141,General Purpose School,Vocational Education Program,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,111,Fund 141 General Purpose School expenditures - Vocational Education Program,budget_table,141,General Purpose School,Vocational Education Program,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,112,Fund 141 General Purpose School expenditures - Technology,budget_table,141,General Purpose School,Technology,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,113,Fund 141 General Purpose School expenditures - Other Programs,budget_table,141,General Purpose School,Other Programs,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,114,Fund 141 General Purpose School expenditures - Board of Education,budget_table,141,General Purpose School,Board of Education,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,115,Fund 141 General Purpose School expenditures - Director of Schools,budget_table,141,General Purpose School,Director of Schools,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,116,Fund 141 General Purpose School expenditures - Office of the Principal,budget_table,141,General Purpose School,Office of the Principal,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,117,Fund 141 General Purpose School expenditures - Fiscal Services,budget_table,141,General Purpose School,Fiscal Services,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,118,Fund 141 General Purpose School expenditures - Human Services / Personnel,budget_table,141,General Purpose School,Human Services / Personnel,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,119,Fund 141 General Purpose School expenditures - Operation of Plant,budget_table,141,General Purpose School,Operation of Plant,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,120,Fund 141 General Purpose School expenditures - Operation of Plant,budget_table,141,General Purpose School,Operation of Plant,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,121,Fund 141 General Purpose School expenditures - Maintenance of Plant,budget_table,141,General Purpose School,Maintenance of Plant,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,122,Fund 141 General Purpose School expenditures - Maintenance of Plant,budget_table,141,General Purpose School,Maintenance of Plant,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,123,Fund 141 General Purpose School expenditures - Transportation,budget_table,141,General Purpose School,Transportation,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,124,Fund 141 General Purpose School expenditures - Transportation,budget_table,141,General Purpose School,Transportation,,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,125,Fund 141 General Purpose School expenditures - Transportation,budget_table,141,General Purpose School,Transportation,,true,false,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,126,Fund 141 General Purpose School expenditures - Community Services,budget_table,141,General Purpose School,Community Services,Before/After School Day Care,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,127,Fund 141 General Purpose School expenditures - Community Services,budget_table,141,General Purpose School,Community Services,Before/After School Day Care - Preschol Development Grant,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,128,Fund 141 General Purpose School expenditures - Early Childhood Education,budget_table,141,General Purpose School,Early Childhood Education,Early Childhood Grant,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,129,Fund 141 General Purpose School expenditures - Early Childhood Education,budget_table,141,General Purpose School,Early Childhood Education,Early Childhood Grant,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,130,Fund 141 General Purpose School expenditures - Early Childhood Education,budget_table,141,General Purpose School,Early Childhood Education,Early Childhood Grant,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,131,Fund 141 General Purpose School expenditures - Early Childhood Education,budget_table,141,General Purpose School,Early Childhood Education,Early Childhood Grant,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
weakley-fwm-2026-06-30,132,Fund 141 General Purpose School expenditures - Early Childhood Education,budget_table,141,General Purpose School,Early Childhood Education,Early Childhood Grant,true,true,medium,Coarse first-pass Fund 141 page metadata generated from OCR headings; refine after visual/OCR review.
